task_id,condition_id,repetition_index,task_success_visible,otel_trace_complete,end_to_end_task_latency_ms,per_task_cost_usd,total_tokens,input_tokens,output_tokens,run_id
repo-kappa-api-version-freshness-001,full_context,1,1,pass,1657,9.800000000000001e-05,662,624,38,memswe-smoke-repo-kappa-api-version-freshness-001-full_context-r1-2026-07-09T01-31-20-327Z
repo-kappa-api-version-freshness-001,full_context,2,1,pass,2727,0.00014336,824,624,200,memswe-smoke-repo-kappa-api-version-freshness-001-full_context-r2-2026-07-09T01-31-27-710Z
repo-kappa-api-version-freshness-001,full_context,3,1,pass,2302,0.00013748,803,624,179,memswe-smoke-repo-kappa-api-version-freshness-001-full_context-r3-2026-07-09T01-31-34-975Z
repo-kappa-api-version-freshness-001,full_context,4,1,pass,2978,0.0001736,932,624,308,memswe-smoke-repo-kappa-api-version-freshness-001-full_context-r4-2026-07-09T01-31-41-808Z
repo-kappa-api-version-freshness-001,hindsight,1,1,pass,74461,0.000406,1615,330,1285,memswe-smoke-repo-kappa-api-version-freshness-001-hindsight-r1-2026-07-09T10-47-30-412Z
repo-kappa-api-version-freshness-001,hindsight,2,1,pass,1557,4.788e-05,336,330,6,memswe-smoke-repo-kappa-api-version-freshness-001-hindsight-r2-2026-07-09T10-49-26-038Z
repo-kappa-api-version-freshness-001,hindsight,3,1,pass,3616,8.232000000000001e-05,459,330,129,memswe-smoke-repo-kappa-api-version-freshness-001-hindsight-r3-2026-07-09T10-49-58-435Z
repo-kappa-api-version-freshness-001,hindsight,4,1,pass,3843,9.800000000000001e-05,515,330,185,memswe-smoke-repo-kappa-api-version-freshness-001-hindsight-r4-2026-07-09T10-50-43-670Z
repo-kappa-api-version-freshness-001,honcho,1,1,pass,8771,0.00017304,856,476,380,memswe-smoke-repo-kappa-api-version-freshness-001-honcho-r1-2026-07-09T09-05-52-137Z
repo-kappa-api-version-freshness-001,honcho,2,1,pass,2670,0.00010066000000000002,638,557,81,memswe-smoke-repo-kappa-api-version-freshness-001-honcho-r2-2026-07-09T09-07-31-491Z
repo-kappa-api-version-freshness-001,honcho,3,1,pass,3044,0.00010080000000000001,586,452,134,memswe-smoke-repo-kappa-api-version-freshness-001-honcho-r3-2026-07-09T09-09-02-779Z
repo-kappa-api-version-freshness-001,honcho,4,1,pass,45156,9.044000000000001e-05,579,512,67,memswe-smoke-repo-kappa-api-version-freshness-001-honcho-r4-2026-07-09T09-10-34-742Z
repo-kappa-api-version-freshness-001,no_memory,1,1,pass,6953,0.00017962,807,331,476,memswe-smoke-repo-kappa-api-version-freshness-001-no_memory-r1-2026-07-09T05-03-08-404Z
repo-kappa-api-version-freshness-001,no_memory,2,1,pass,2212,5.81e-05,373,331,42,memswe-smoke-repo-kappa-api-version-freshness-001-no_memory-r2-2026-07-09T05-03-17-882Z
repo-kappa-api-version-freshness-001,no_memory,3,1,pass,1742,5.754e-05,371,331,40,memswe-smoke-repo-kappa-api-version-freshness-001-no_memory-r3-2026-07-09T05-03-21-935Z
repo-kappa-api-version-freshness-001,no_memory,4,1,pass,2606,4.802e-05,337,331,6,memswe-smoke-repo-kappa-api-version-freshness-001-no_memory-r4-2026-07-09T05-03-25-545Z
repo-kappa-api-version-freshness-001,supermemory,1,1,pass,3386,0.00010066,525,331,194,memswe-smoke-repo-kappa-api-version-freshness-001-supermemory-r1-2026-07-09T11-59-49-397Z
repo-kappa-api-version-freshness-001,supermemory,2,1,pass,18432,7.098e-05,419,331,88,memswe-smoke-repo-kappa-api-version-freshness-001-supermemory-r2-2026-07-09T12-00-05-803Z
repo-kappa-api-version-freshness-001,supermemory,3,1,pass,18725,0.00014126,670,331,339,memswe-smoke-repo-kappa-api-version-freshness-001-supermemory-r3-2026-07-09T12-00-34-483Z
repo-kappa-api-version-freshness-001,supermemory,4,1,pass,5693,4.802e-05,337,331,6,memswe-smoke-repo-kappa-api-version-freshness-001-supermemory-r4-2026-07-09T12-01-05-268Z
repo-kappa-api-version-freshness-001,zep,1,1,pass,1662,4.788e-05,336,330,6,memswe-smoke-repo-kappa-api-version-freshness-001-zep-r1-2026-07-09T11-26-00-261Z
repo-kappa-api-version-freshness-001,zep,2,1,pass,22808,5.516000000000001e-05,362,330,32,memswe-smoke-repo-kappa-api-version-freshness-001-zep-r2-2026-07-09T11-26-36-309Z
repo-kappa-api-version-freshness-001,zep,3,1,pass,59021,6.608e-05,401,330,71,memswe-smoke-repo-kappa-api-version-freshness-001-zep-r3-2026-07-09T11-27-33-954Z
repo-kappa-api-version-freshness-001,zep,4,1,pass,32683,7.532e-05,434,330,104,memswe-smoke-repo-kappa-api-version-freshness-001-zep-r4-2026-07-09T11-29-07-914Z
repo-koppa-quota-abstention-001,full_context,1,1,pass,2810,0.00010738,729,691,38,memswe-smoke-repo-koppa-quota-abstention-001-full_context-r1-2026-07-09T01-19-05-326Z
repo-koppa-quota-abstention-001,full_context,2,1,pass,9774,0.00013762,837,691,146,memswe-smoke-repo-koppa-quota-abstention-001-full_context-r2-2026-07-09T01-19-10-114Z
repo-koppa-quota-abstention-001,full_context,3,1,pass,2664,0.00011018,739,691,48,memswe-smoke-repo-koppa-quota-abstention-001-full_context-r3-2026-07-09T01-19-22-404Z
repo-koppa-quota-abstention-001,full_context,4,1,pass,4564,0.0001239,788,691,97,memswe-smoke-repo-koppa-quota-abstention-001-full_context-r4-2026-07-09T01-19-27-718Z
